1379;1;2;5;23;45;11
1380;1;4;37;45;46;16
1381;6;12;26;36;38;27
1382;17;25;36;38;40;15
1383;1;3;26;40;44;26
1384;8;23;38;40;41;23
1385;8;11;19;26;28;16
1386;23;30;34;43;46;13
1387;13;23;26;39;41;14
1388;24;27;28;42;46;18
1389;4;12;16;27;41;1
1390;12;13;35;44;47;17
1391;6;9;31;39;44;24
1392;14;19;33;41;44;9
1393;5;16;20;21;44;17
1394;6;8;9;14;47;20
1395;2;16;22;31;34;10
1396;11;17;34;36;47;1
1397;16;32;38;43;46;8
1398;6;7;10;20;42;13
1399;2;6;10;27;32;9
1400;5;7;10;12;19;15
1401;4;30;36;43;45;15
1402;4;6;11;29;32;11
1403;26;35;37;39;45;6
1404;9;13;16;22;35;23
1405;2;6;25;30;46;18
1406;14;15;39;46;47;21
1407;1;5;6;9;33;22
1408;2;5;14;15;34;2
1409;4;6;7;15;36;7
1410;8;14;28;31;33;7
1411;5;7;16;19;29;26
1412;3;10;20;28;37;20
1413;2;4;24;30;38;24
1414;2;14;15;36;45;8
1415;1;14;21;33;46;9
1416;3;16;26;27;32;24
1417;3;20;27;34;47;15
1418;7;15;17;30;44;13
1419;5;24;34;35;47;22
1420;9;24;25;29;40;4
1421;6;9;15;24;32;9
1422;8;16;17;39;40;18
1423;7;12;24;26;34;23
1424;5;7;14;19;25;4
1425;31;34;36;37;47;26
1426;3;21;32;36;44;4
1427;2;19;24;26;43;11
1428;11;22;36;42;46;4
1429;12;15;16;29;39;23
1430;21;38;42;44;46;24
1431;6;9;10;11;26;22
1432;5;30;38;41;46;15
1433;6;11;13;18;27;19
1434;26;27;32;44;45;27
1435;2;7;28;30;38;6
1436;3;4;29;30;35;13
1437;3;14;15;19;45;19
1438;2;12;15;24;43;9
1439;9;14;22;25;38;25
1440;16;23;27;28;39;19
1441;3;5;15;32;42;4
1442;1;3;25;30;35;24
1443;8;23;25;26;35;13
1444;11;12;16;29;38;4
1445;19;30;34;41;44;9
1446;6;17;24;36;41;1
1447;4;36;37;42;43;1
1448;3;16;20;25;45;19
1449;20;23;31;33;46;25
1450;3;8;23;29;44;1
1451;1;3;5;41;46;9
1452;1;8;19;33;34;23
1453;8;17;29;32;45;11
1454;12;24;25;28;30;16
1455;9;11;12;20;22;23
1456;1;6;15;20;30;17
1457;3;10;13;33;35;18
1458;1;4;19;43;46;15
1459;4;6;19;20;40;10
1460;16;22;30;37;47;22
1461;13;24;25;33;43;16
1462;2;4;25;39;42;4
1463;5;7;28;30;31;8
1464;11;12;15;19;29;25
1465;2;12;14;35;37;13
1466;1;7;12;25;33;3
1467;1;14;19;21;43;8
1468;8;14;27;32;40;23
1469;6;10;23;30;33;13
1470;5;12;13;36;47;9
1471;4;14;17;30;34;23
1472;10;14;34;43;44;14
1473;1;3;6;9;19;14
1474;23;28;34;36;45;9
1475;7;12;32;39;43;8
1476;3;10;18;22;30;26
1477;12;13;22;32;38;21
1478;7;19;31;44;45;9
1479;2;13;16;41;45;20
1480;1;6;18;33;36;2
1481;9;13;26;32;47;6
1482;2;5;19;29;42;17
1483;2;8;31;32;46;13
1484;3;22;43;44;45;8
1485;1;5;15;37;45;16
1486;11;21;30;41;46;16
1487;6;16;32;33;47;1
1488;9;18;36;38;47;14
1489;1;8;35;39;44;16
1490;5;19;31;35;44;12
1491;5;26;32;33;37;5
1492;15;20;24;27;43;20
1493;6;32;34;39;46;18
1494;5;13;34;36;46;2
1495;12;22;29;37;43;7
1496;2;9;12;30;44;18
1497;3;5;16;19;39;14
1498;14;16;20;41;45;24
1499;1;18;20;45;46;5
